restaurant_names,food_names,first_name,food_cost
johnnys-cashew-stand,vegetables,Margaret,6.5
the-ice-cream-parlor,cashews,Mary,7.0
bean-juice-stand,coffee,Christopher,8.5
the-ice-cream-parlor,soup,Thomas,7.5
the-restaurant-at-the-end-of-the-universe,wine,Dawn,3.0
johnnys-cashew-stand,cookies,Larry,1.0
johnnys-cashew-stand,sugar,Daniel,7.5
bean-juice-stand,eggs,Tami,8.5
johnnys-cashew-stand,fish,Andrew,1.5
johnnys-cashew-stand,corn,Teresa,7.5
the-restaurant-at-the-end-of-the-universe,sugar,Kimberly,2.5
the-restaurant-at-the-end-of-the-universe,cheese,Brenda,8.0
the-restaurant-at-the-end-of-the-universe,sandwiches,Angelica,7.5
the-ice-cream-parlor,honey,John,6.5
bean-juice-stand,sugar,Barbara,9.0
the-ice-cream-parlor,candy,Vanessa,4.0
the-ice-cream-parlor,nuts,Chad,2.0
the-restaurant-at-the-end-of-the-universe,cheese,Carla,6.0
the-ice-cream-parlor,sugar,Elizabeth,7.0
johnnys-cashew-stand,cheese,Scott,6.5
the-restaurant-at-the-end-of-the-universe,yogurt,Hannah,8.5
the-restaurant-at-the-end-of-the-universe,juice,Karen,2.5
bean-juice-stand,juice,Mark,5.0
johnnys-cashew-stand,fish,Mary,7.5
the-ice-cream-parlor,chips,David,3.0
johnnys-cashew-stand,sandwiches,Patricia,3.5
the-restaurant-at-the-end-of-the-universe,cheese,Daniel,4.0
the-restaurant-at-the-end-of-the-universe,corn,James,6.5
bean-juice-stand,wine,Gregg,1.0
the-ice-cream-parlor,cereal,Gabriel,3.0
bean-juice-stand,cereal,Katherine,4.0
the-ice-cream-parlor,tea,James,6.5
the-restaurant-at-the-end-of-the-universe,tea,James,5.0
the-restaurant-at-the-end-of-the-universe,tea,Alan,7.0
bean-juice-stand,wine,Stephanie,8.5
the-restaurant-at-the-end-of-the-universe,rice,Olivia,7.5
bean-juice-stand,soup,Vanessa,6.5
bean-juice-stand,pasta,James,6.0
the-ice-cream-parlor,water,Amber,9.0
the-ice-cream-parlor,chocolate,Robert,1.5
the-ice-cream-parlor,chips,Christine,8.0
bean-juice-stand,fruit,Tiffany,8.5
bean-juice-stand,water,Antonio,6.5
johnnys-cashew-stand,juice,Dwayne,8.5
the-ice-cream-parlor,grains,Luis,4.5
johnnys-cashew-stand,tea,Christina,5.5
johnnys-cashew-stand,honey,Kimberly,3.0
johnnys-cashew-stand,nuts,Amanda,5.5
johnnys-cashew-stand,rice,Brittney,5.0
the-restaurant-at-the-end-of-the-universe,eggs,Brian,8.5
the-ice-cream-parlor,candy,Brian,7.0
bean-juice-stand,beans,John,1.5
the-restaurant-at-the-end-of-the-universe,honey,Monica,4.5
bean-juice-stand,chicken,Whitney,6.0
the-ice-cream-parlor,candy,Mary,6.5
the-restaurant-at-the-end-of-the-universe,fish,Brooke,7.0
the-ice-cream-parlor,cereal,Melissa,6.0
the-restaurant-at-the-end-of-the-universe,chicken,Veronica,4.0
the-ice-cream-parlor,soup,Bryan,8.0
johnnys-cashew-stand,juice,Nicole,8.5
bean-juice-stand,beans,Lindsey,6.5
